Column1,Column2,Column3,Column4,Column5,Column6
raeh.185,122064,-12764.882,16805.72411,-0.317,t
raeh.186,122064,-12778.429,16805.73604,-0.030,t
raeh.187,122064,-12794.493,16805.75018,0.311,t
raeh.188,122064,-12810.444,16805.76433,0.651,t
raeh.189,122064,-12826.159,16805.77847,0.991,t
raeh.209,161797,6073.817,16805.87312,-0.624,t
raeh.210,161797,6065.503,16805.87667,-0.539,t
raeh.211,161797,6056.813,16805.88037,-0.450,t
raeh.212,161797,6047.637,16805.88427,-0.356,t
raeh.213,161797,6037.760,16805.88846,-0.255,t
raei.202,157214,1817.192,16808.86092,-0.286,t
raei.203,157214,1809.648,16808.86428,-0.206,t
raei.204,157214,1802.539,16808.86744,-0.130,t
raei.205,157214,1795.582,16808.87053,-0.055,t
raei.206,157214,1787.449,16808.87414,0.032,t
raei.214,185144,2916.340,16808.96189,0.045,t
raek.193,140538A,-9253.890,16812.78406,-0.306,t
raek.194,140538A,-9272.544,16812.79082,-0.143,t
raek.195,140538A,-9290.650,16812.79737,0.014,t
raek.196,140538A,-9310.514,16812.80456,0.187,t
raek.197,140538A,-9330.087,16812.81165,0.358,t
raek.213,168009,4459.334,16812.89192,-0.160,t
raek.214,168009,4440.245,16812.90247,0.094,t
raek.215,168009,4421.662,16812.91275,0.341,t
raek.216,168009,4403.216,16812.923,0.588,t
raek.217,168009,4387.481,16812.93182,0.800,t
rael.217,HR7400,0.000,16813.92858,0.000,t
rael.218,HR7400,0.000,16813.93772,0.000,t
rael.219,HR7400,0.000,16813.94638,0.000,t
rael.220,HR7400,0.000,16813.95501,0.000,t
rael.221,HR7400,0.000,16813.96431,0.000,t
rael.227,185144,3169.553,16813.99857,1.255,t
raem.181,239124,7318.519,16816.74098,-4.776,t
raem.182,239124,7303.329,16816.76854,-4.113,t
raem.183,239124,7298.649,16816.77545,-3.947,t
raem.184,239124,7290.544,16816.78641,-3.683,t
raem.185,239124,7281.615,16816.79739,-3.419,t
raem.186,239124,7272.228,16816.80804,-3.163,t
raen.201,168009,3554.776,16817.91142,0.637,t
raen.202,168009,3532.193,16817.92411,0.942,t
raen.203,168009,3511.335,16817.93603,1.229,t
raen.204,168009,3490.529,16817.94819,1.521,t
raen.205,168009,3467.295,16817.96221,1.859,t
raen.206,HR7400,0.000,16817.97049,0.000,t
raeq.184,127334,-16957.490,16825.70837,0.063,t
raeq.185,127334,-16983.924,16825.72278,0.409,t
raeq.192,185144,3904.867,16825.76709,-3.530,t
raeq.193,185144,3902.632,16825.77202,-3.411,t
raeq.194,185144,3900.540,16825.77646,-3.305,t
raeq.195,185144,3898.308,16825.78102,-3.195,t
raeq.196,185144,3895.777,16825.786,-3.075,t
raeq.218,185144,3790.988,16825.93713,0.562,t
raeq.219,185144,3788.671,16825.9402,0.636,t
raeq.220,185144,3786.213,16825.94346,0.714,t
raeq.221,185144,3783.593,16825.94696,0.798,t
raeq.222,185144,3780.744,16825.95077,0.890,t
